"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bangladesh","BGD","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","5060947","","","3262975","","","2917842","3610122","3960790","","","5212587","","5738082","5964606","6257419","6449855","6673539","5326152","5462667","5156730","","","","","","","","","","","","","","","1148544","1289922","","2317428","2309199","2278044","","","","","","","536211","543149","","","","1159988.45239901","1085125.81172616","918575.099977436",
"Bulgaria","BGR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4458","5572","1172","1123","1122","309","412","179","168","2682","2171","3740","6304","9500","8486","7892","8978","9580","10952","11136","10835","12534","12899","13937","",
"Bahrain","BHR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","12376","12603","13003","12395","10250","9979","8764","8960","8907","9356","11599","13623","12922","11302","8797","5883","5746","3995","4045","","6871","11194","11183","11080","9683","8804","8166","5306","3758","5570","5841","7495","9195","8842","8722","3887","","","","","6201","490","386.1859400822","537.353238476062","1703","1882","2060","3301","3582","","","3838","8399","5993",
"Bahamas, The","BHS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","0","1732","2061","2269","2534","2401","","","1773","298","","","1087","","","","","","","","53","172","0","","","","","5262","","","","","4698","3198","3520","2155","1683","2414","2339","380.259740259739","1063","","","","","","","","","","","8599","4585",
"Bosnia and Herzegovina","BIH","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21750","20719","19769","21575","20272","17435","13611","8183","3236","1125","","2798","2263","2119","2933","",
"Belarus","BLR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93543","","","","","","0","2795","1806","7319","6526","5123","4066","1838","2565","2196","2100","2240","1898","5759","8570","8892","11766","15398","20343","23041","23529","25137","25871","20600",
"Belize","BLZ","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","920","944","933","","586","588","138","250","365","450","671","711","708","241.229526462397","24.9876271186367","229.574550999663","178.81434279705","233.827027027029","115.180005070571","194.878906250007","419.476807189109","254.065294535132","1800","3636","5322","4953",
"Bermuda","BMU","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","983","1032","","","","","267","215","","","","","","","","","","","","","","","","","","","","216","","","","","","161","142","","","","","","","","","","","","",
"Bolivia","BOL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1029","3130","3118","5282","8518","7184","6965","6470","3622","19605","58350","93279","135589","147734","155614","155958","145719","125129","101618","84476","71200","58725","47675","58597","",
"Brazil","BRA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","896214","602121","600337","658887","630849","619485","709047","612570","658477","768293","585579","","",
